Trace,Exp,Core_0_L2C_prefetch_issued,Core_0_L2C_prefetch_useful,Core_0_L2C_prefetch_useless,Core_0_L2C_total_miss,Core_0_LLC_prefetch_issued,Core_0_LLC_prefetch_useful,Core_0_LLC_prefetch_useless,Core_0_LLC_total_miss,Filter
nutch_phase0_1T,nopref,0,0,0,599936,0,0,0,592849,1
nutch_phase0_1T,spp,4226397,204147,5102,608299,0,928739,976890,502015,1
nutch_phase0_1T,bingo,1474980,433856,27147,633430,0,154667,1745410,653059,1
nutch_phase0_1T,mlop,1285369,422226,136927,708203,0,395492,2337022,671251,1
nutch_phase0_1T,pythia,6750351,546272,317474,913578,0,71058,2051062,644020,1
nutch_phase0_1T,dspatch,7491607,522774,2714811,3433226,0,150740,3177521,960882,1
nutch_phase0_1T,ppf,3872715,592778,794879,1406555,0,77867,2639074,766842,1
nutch_phase1_1T,nopref,0,0,0,639499,0,0,0,688314,1
nutch_phase1_1T,spp,4614924,264523,3964,638872,0,860162,918610,520947,1
nutch_phase1_1T,bingo,1383751,533942,26123,667354,0,155133,1531525,737066,1
nutch_phase1_1T,mlop,1353558,509874,144664,744486,0,392938,2222021,694793,1
nutch_phase1_1T,pythia,5925982,613440,280534,894260,0,73391,1891712,714907,1
nutch_phase1_1T,dspatch,4630236,573119,1909205,2485730,0,154898,3261010,961353,1
nutch_phase1_1T,ppf,2684426,651250,580075,1201586,0,84643,2505106,821737,1
nutch_phase2_1T,nopref,0,0,0,2017775,0,0,0,1459850,1
nutch_phase2_1T,spp,7971926,641181,5180,2022806,0,687386,551304,1643714,1
nutch_phase2_1T,bingo,7430521,1371485,215926,2180139,0,588071,1746670,2093280,1
nutch_phase2_1T,mlop,3317174,1067008,167037,2129083,0,719721,1358357,1936103,1
nutch_phase2_1T,pythia,7496806,1745999,663131,2506022,0,90957,1661275,1728423,1
nutch_phase2_1T,dspatch,6137443,1642827,3283186,4525570,0,183160,2062477,2176057,1
nutch_phase2_1T,ppf,3270783,1848059,732146,2568918,0,88195,1837048,1769922,1
nutch_phase3_1T,nopref,0,0,0,604877,0,0,0,573375,1
nutch_phase3_1T,spp,3766297,151414,3910,603984,0,1003039,987646,504100,1
nutch_phase3_1T,bingo,1450613,362986,34515,639574,0,156617,1764842,609875,1
nutch_phase3_1T,mlop,1130554,330578,125895,708101,0,443595,2604079,687535,1
nutch_phase3_1T,pythia,6775468,482378,296138,901882,0,78261,2227508,630536,1
nutch_phase3_1T,dspatch,8051976,471000,3003874,3227958,0,156537,3510681,946050,1
nutch_phase3_1T,ppf,4149937,541651,861684,1434380,0,92794,2870844,752909,1
nutch_phase4_1T,nopref,0,0,0,636847,0,0,0,675261,1
nutch_phase4_1T,spp,4270319,208631,4665,638630,0,903204,953016,539555,1
nutch_phase4_1T,bingo,1508161,450041,32662,667352,0,165090,1613416,744759,1
nutch_phase4_1T,mlop,1349012,425341,157350,757170,0,468688,2357341,740737,1
nutch_phase4_1T,pythia,6765682,577692,327684,925680,0,75827,2056249,734329,1
nutch_phase4_1T,dspatch,6870553,535622,2982287,2826415,0,159583,3451188,1013065,1
nutch_phase4_1T,ppf,3647373,626356,796981,1290918,0,90656,2683725,846425,1
nutch_phase5_1T,nopref,0,0,0,227283,0,0,0,202308,1
nutch_phase5_1T,spp,1383591,52931,1315,233181,0,258046,251580,191769,1
nutch_phase5_1T,bingo,496087,130601,10512,240521,0,51553,417507,235319,1
nutch_phase5_1T,mlop,413313,118173,52993,286758,0,158922,739704,264950,1
nutch_phase5_1T,pythia,2391721,161081,97260,340633,0,35716,552520,224621,1
nutch_phase5_1T,dspatch,2503948,166590,959499,1149468,0,67945,1090068,336332,1
nutch_phase5_1T,ppf,1275377,177646,260232,489200,0,44113,782951,270814,1
nutch_phase0_1T,coop_pythia,2515187,418266,159573,774382,0,57479,1660819,602760,1
nutch_phase1_1T,coop_pythia,1787066,475536,144945,784264,0,58867,1528535,702378,1
nutch_phase2_1T,coop_pythia,2902877,1160730,552384,2430889,0,78823,1393494,1669956,1
nutch_phase3_1T,coop_pythia,2657694,370707,164716,799371,0,65035,1682207,600820,1
nutch_phase4_1T,coop_pythia,2330778,444625,172564,798260,0,58910,1626311,703825,1
nutch_phase5_1T,coop_pythia,801120,112269,47549,287051,0,28204,416866,212590,1
